msa_code,msa_title,state,min_long,min_lat,max_long,max_lat,center_long,center_lat,radius
C2760,"Jefferson, GA MicroSA",Georgia,-83.817682,33.965912,-83.357051,34.29538,-83.5873665,34.130646,21337
C2014,"Dublin, GA MicroSA",Georgia,-83.226536,32.147274,-82.434149,32.822356,-82.8303425,32.484815,43719
C2598,"Hinesville, GA MSA",Georgia,-81.981621,31.520981,-81.049789,32.092551,-81.515705,31.806766,43105
C4708,"Vidalia, GA MicroSA",Georgia,-82.656244,31.911798,-82.181912,32.35383,-82.419078,32.132814,28626
C1914,"Dalton, GA MSA",Georgia,-85.168851,34.583187,-84.582195,34.988329,-84.875523,34.785758,27137
C4818,"Waycross, GA MicroSA",Georgia,-82.70105,30.568556,-81.992114,31.530699,-82.346582,31.0496275,62310
C1634,"Cedartown, GA MicroSA",Georgia,-85.421852,33.899212,-84.922742,34.100668,-85.172297,33.999939999999995,23088
C1114,"Americus, GA MicroSA",Georgia,-84.443807,31.872755,-83.919119,32.428095,-84.18146300000001,32.150425,35965
C4574,"Toccoa, GA MicroSA",Georgia,-83.45843,34.460998,-83.103451,34.687187,-83.28094050000001,34.5740925,16420
C4562,"Thomasville, GA MicroSA",Georgia,-84.119245,30.658396,-83.736158,31.077971,-83.92770150000001,30.8681835,27172
C4570,"Tifton, GA MicroSA",Georgia,-83.66667,31.326263,-83.338728,31.597921,-83.502699,31.462092,17593
C2930,"LaGrange, GA MicroSA",Georgia,-85.236518,32.866647,-84.86147,33.224693,-85.048994,33.04567,23187
C4558,"Thomaston, GA MicroSA",Georgia,-84.534397,32.690018,-84.122246,33.00415,-84.3283215,32.847084,20343
C2770,"Jesup, GA MicroSA",Georgia,-82.147948,31.327206,-81.61201,31.829308,-81.87997899999999,31.578257,32517
C2590,"Hilo, HI MicroSA",Hawaii,-156.120001,18.86546,-154.755792,20.321453,-155.43789650000002,19.593456500000002,94293
C4652,"Urban Honolulu, HI MSA",Hawaii,-178.443593,21.199238,-157.597288,28.517269,-168.0204405,24.8582535,964324
C2818,"Kapaa, HI MicroSA",Hawaii,-160.600875,21.600384,-159.241827,22.290473,-159.92135100000002,21.9454285,62867
